EmployeeID,HourlyWage,Industry,Job
1,32.81,Construction,Analyst
2,46.00,Automotive,Engineer
3,43.13,Construction,Sales Rep
4,48.09,Automotive,Other
5,43.62,Automotive,Accountant
6,46.98,Construction,Engineer
7,43.03,Construction,Sales Rep
8,40.96,Construction,Programmer
9,38.89,Construction,Consultant
10,46.13,Construction,Accountant
11,28.00,Automotive,Engineer
12,31.24,Construction,Consultant
13,37.23,Construction,Other
14,32.35,Construction,Accountant
15,37.53,Construction,Sales Rep
16,24.76,Automotive,Programmer
17,47.00,Automotive,Other
18,47.25,Automotive,Other
19,42.53,Automotive,Engineer
20,26.09,Construction,Consultant
21,49.59,Construction,
22,47.97,Construction,Accountant
23,48.77,Construction,Engineer
24,42.58,,Sales Rep
25,49.70,Automotive,Engineer
26,42.18,Automotive,Engineer
27,29.30,Construction,Consultant
28,38.24,Construction,Programmer
29,48.87,Tech,Sales Rep
30,46.39,Automotive,Engineer
31,46.66,Automotive,Engineer
32,31.08,Construction,Accountant
33,42.91,Construction,Consultant
34,37.53,Construction,Sales Rep
35,36.47,Construction,Other
36,38.28,Automotive,Accountant
37,48.53,Construction,Engineer
38,39.73,Construction,Programmer
39,32.17,Construction,Sales Rep
40,34.76,Tech,Programmer
41,38.76,Construction,Consultant
42,48.53,Construction,Engineer
43,41.26,Tech,Accountant
44,48.66,Automotive,Engineer
45,33.78,Construction,Engineer
46,47.46,Automotive,Engineer
47,32.00,Automotive,Sales Rep
48,35.41,Construction,Programmer
49,44.57,Construction,Consultant
50,45.42,Construction,Other
51,43.26,Construction,Accountant
52,33.66,Construction,Engineer
53,33.66,Construction,Engineer
54,48.95,Automotive,Engineer
55,47.18,Construction,Sales Rep
56,44.57,Construction,Programmer
57,43.73,Construction,Consultant
58,44.90,Construction,
59,42.92,Automotive,Accountant
60,42.85,Construction,Programmer
61,32.35,Construction,Accountant
62,27.18,Construction,Engineer
63,32.96,Construction,Sales Rep
64,33.98,Construction,Programmer
65,34.07,Automotive,Consultant
66,26.09,Construction,
67,41.50,Automotive,Accountant
68,25.40,Construction,Engineer
69,35.78,Construction,Sales Rep
70,49.77,Construction,Accountant
71,30.74,Construction,Programmer
72,45.47,Automotive,Engineer
73,43.73,Tech,Consultant
74,44.51,Construction,Programmer
75,42.92,Automotive,Accountant
76,31.33,Construction,Other
77,29.00,Automotive,Accountant
78,25.40,Construction,Engineer
79,50.00,Automotive,Engineer
80,34.76,Tech,Engineer
81,34.01,Construction,Sales Rep
82,41.26,Tech,Programmer
83,37.59,Construction,Programmer
84,42.92,Automotive,Accountant
85,32.70,Construction,Programmer
86,27.18,Construction,Engineer
87,41.88,Automotive,Consultant
88,31.00,Tech,Other
89,41.93,Construction,
90,43.00,Automotive,Sales Rep
91,33.45,Construction,Accountant
92,49.77,Construction,Accountant
93,44.51,Construction,Programmer
94,45.01,Automotive,Engineer
95,45.02,Automotive,Engineer
96,41.14,Construction,Engineer
97,48.09,Construction,Other
98,46.18,Automotive,Engineer
99,45.73,Automotive,Engineer
100,47.13,Construction,Engineer
101,47.72,Construction,Sales Rep
102,40.18,Construction,Programmer
103,37.53,Construction,Sales Rep
104,29.56,Construction,Consultant
105,48.71,Automotive,Engineer
106,36.75,Construction,Other
107,37.23,Construction,Other
108,43.12,Construction,
109,43.95,Automotive,Engineer
110,51.00,Construction,Other
111,42.04,Automotive,Engineer
112,33.66,Construction,Engineer
113,36.13,Tech,Engineer
114,47.16,Automotive,Engineer
115,40.18,Construction,Programmer
116,42.61,Automotive,Engineer
117,35.71,Construction,Programmer
118,36.11,Construction,Consultant
119,48.93,Construction,Other
120,44.90,Construction,Other
121,48.71,Construction,Other
122,32.94,Construction,Accountant
123,48.53,Construction,Engineer
124,44.90,Construction,Other
125,47.72,Tech,Engineer
126,42.58,Automotive,Sales Rep
127,25.17,Tech,Sales Rep
128,47.10,Automotive,Other
129,47.79,Automotive,Engineer
130,48.98,Automotive,Consultant
131,44.59,Automotive,Engineer
132,41.06,Construction,Programmer
133,43.83,Automotive,Engineer
134,45.49,Tech,Other
135,44.57,Construction,Consultant
136,48.56,Automotive,Accountant
137,48.87,Tech,Sales Rep
138,40.18,Construction,Consultant
139,42.18,,Engineer
140,42.03,Automotive,Engineer
141,49.49,Tech,Accountant
142,25.17,Automotive,Engineer
143,32.38,Construction,Engineer
144,26.90,Construction,Sales Rep
145,47.38,Automotive,Engineer
146,48.53,Construction,Engineer
147,41.26,Automotive,Programmer
148,44.51,Construction,Programmer
149,40.48,Automotive,Engineer
150,26.09,Construction,Other
151,44.98,Construction,Programmer
152,30.74,Construction,Programmer
153,40.48,Construction,Consultant
154,40.34,Construction,Other
155,47.54,Automotive,Other
156,25.40,Construction,Engineer
157,36.30,Construction,Accountant
158,44.38,Construction,Other
159,31.33,Construction,Other
160,48.09,Construction,Other
161,46.35,Construction,Other
162,43.03,Construction,Sales Rep
163,48.08,Tech,Sales Rep
164,46.17,Automotive,Engineer
165,31.00,Construction,Engineer
166,40.18,Construction,Programmer
167,33.00,Tech,Other
168,29.56,Construction,Consultant
169,32.38,Construction,Engineer
170,30.47,Construction,Consultant
171,35.16,Construction,Sales Rep
172,42.55,Construction,Programmer
173,42.84,Construction,Consultant
174,38.98,Construction,Consultant
175,48.80,Automotive,
176,47.02,Automotive,Engineer
177,40.18,Construction,Programmer
178,41.25,Automotive,Engineer
179,48.09,Construction,Accountant
180,31.63,Construction,Accountant
181,24.89,Construction,Sales Rep
182,48.47,Construction,Other
183,41.65,Construction,Engineer
184,26.90,Construction,Sales Rep
185,33.98,Construction,Programmer
186,48.75,Construction,Other
187,44.57,Construction,Accountant
188,49.00,Automotive,Programmer
